  6.0 11.0
  4.0  1.0
  8.0  7.0
  8.0  7.0
  7.0 11.0
  5.0  7.0
  3.0 11.0
  2.0 11.0
  3.0  6.0
 10.0 11.0
  4.0  5.0
  1.0 11.0
  5.0 11.0
  1.0 11.0
  9.0  4.0
  6.5  8.0
  5.9  5.3
  5.9  3.7
  7.0 11.0
  2.0 11.0
  4.5   .0
  5.5  4.0
  5.0  8.0
  7.0  7.5
 10.0  8.0
  5.5  1.5
  6.0  3.0
  6.7  6.5
  6.0  7.5
  6.5  8.0
  5.0  7.0
  6.5 11.0
  5.0  5.0
  2.0  2.0
  8.0  8.0
  7.0  6.0
  5.5  8.0
  7.0  7.0
  8.0  3.0
  4.0  5.0
  5.0  5.0
  7.0  6.0
  6.0  5.0
  4.0 11.0
  2.0  2.0
  6.0  5.0
  2.0  5.0
  7.0  6.0
  5.0 11.0
  3.0  3.0
  5.0 11.0
  5.0 11.0
  3.0  4.0
  4.0  6.5
  6.0  4.0
  4.0  3.0
  8.0 11.0
  8.0 11.0
  8.0 11.0
   .0 11.0
  8.0 11.0
  9.0  3.0
  4.0  9.0
  5.0 11.0
  7.0  4.0
  8.0 11.0
  7.0 11.0
  5.0  4.0
  3.0 11.0
  3.0  5.0
  3.0 11.0
  7.0  4.5
  6.0 11.0
  5.5 11.0
  4.5 11.0
  5.5   .0
  4.0  2.0
  7.0  7.0
  7.0  7.0
  4.0  7.0
  3.0 11.0
  6.0 11.0
  4.0  4.0
  5.0 11.0
  8.0  9.0
  5.0 11.0
  4.0 11.0
  4.0  3.0
  6.0 11.0
  8.0  4.0
  8.5  6.0
  5.0  8.0
  6.5  2.0
  2.0 11.0
  6.0  7.0
  6.0  5.0
  5.0 11.0
  6.0  2.0
   .0 11.0
  9.0 11.0
  4.0 11.0
  5.0  5.0
  8.0  8.0
 97.0 11.0
  4.0 11.0
 97.0  3.0
  6.0  6.0
  2.0 11.0
  3.0  2.0
  6.0  6.0
  6.5  6.0
  6.3  7.0
  7.0  3.0
  4.5  5.0
  8.0  5.0
  3.0  4.0
  3.0  2.0
  3.0  2.0
   .0  7.0
  7.0  5.0
  5.0 11.0
  4.0 11.0
  4.0  7.0
  4.0  1.0
  3.3  5.0
  1.0 11.0
  6.0 11.0
  3.0   .0
   .0 11.0
  3.0  8.0
  5.0  3.0
  3.0 11.0
  5.7  7.0
  8.7  5.0
  5.2  4.5
  4.0  3.0
  6.5 11.0
  4.5  5.0
  2.5  2.0
  9.0  8.0
  5.0  4.0
  6.0  5.0
  7.0 11.0
  2.0  2.0
  7.0 11.0
  5.0 11.0
 10.0 11.0
  7.0 11.0
  5.0  4.0
  3.0 11.0
  6.5 10.0
  4.5 11.0
  5.8  4.7
  5.7  7.0
  2.0 11.0
  6.5 11.0
  2.5 11.0
  7.5  5.5
  4.5  6.0
  5.0 11.0
  5.0  9.0
  6.0 11.0
  3.0  1.0
 10.0 11.0
  9.0  5.0
  8.0 11.0
  8.0  8.0
  8.0 11.0
  7.0  4.0
  3.0 11.0
  7.0  6.0
  6.5  5.0
  9.0  7.0
  6.0  2.0
  6.8  5.0
  5.0  2.3
  3.5  4.5
  3.5  3.0
  4.3  4.7
  7.0  5.0
  9.0  9.0
  8.0  4.0
  7.0  4.0
  4.0  4.0
   .0 11.0
  4.0 11.0
  3.0 11.0
  5.0  4.0
  6.0  2.0
  6.7  5.5
  4.5  6.0
  4.8  5.0
  1.5 11.0
  3.7  2.0
